Regularization,F1_Mean,F1_Std,F1_Min,F1_Max,PR_AUC_Mean,PR_AUC_Std
L1 (Lasso),0.24338148430169018,0.20087448008939995,0.0,0.46153846153846156,0.4867384837099992,0.1611037747371563
L2 (Ridge),0.2860065466448445,0.23081864547607647,0.02564102564102564,0.5714285714285714,0.48731112698945217,0.16577626599979717
Elastic Net,0.26363652186020603,0.22034645805403555,0.0,0.5185185185185185,0.48660805494875686,0.16251774093213772
