Dataset,Pipeline,Train_Accuracy,Test_Accuracy,F1,Precision,Recall,PR_AUC,ROC_AUC
D1,A,0.8154347826086956,0.81,0.09523809523809523,1.0,0.05,0.4700937698033249,0.5129123345935728
D2,A,0.940625,0.85,0.5714285714285714,1.0,0.4,0.688235115428653,0.6133333333333333
D3,A,0.5899153737658674,0.528169014084507,0.45171849427168576,0.5390625,0.38873239436619716,0.55730053096033,0.46993056933148186
D3_imb,A,0.7887082976903336,0.7406143344709898,0.02564102564102564,0.08333333333333333,0.015151515151515152,0.23361509176550063,0.513482846081965
D1,B,0.9658695652173913,0.9630434782608696,0.9037372593431483,0.9432624113475178,0.8673913043478261,0.969089369746351,0.9884676275992438
D2,B,0.965625,0.9375,0.8648648648648649,0.9411764705882353,0.8,0.9826277276738308,0.9941666666666666
D3,B,0.673836389280677,0.6619718309859155,0.6166134185303515,0.7121771217712177,0.543661971830986,0.7570749663525461,0.7161039476294386
D3_imb,B,0.7784431137724551,0.7747440273037542,0.0,0.0,0.0,0.2480207562833195,0.5355092778000267
